Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
onenote-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure OneNote SDK/CLI authentication,"onenote install auth, install and configure onenote sdk/cli authentication",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote install auth in under 15 minutes,true,onboarding,plugins/saas-packs/onenote-pack/skills/onenote-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
onenote-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working OneNote example,"onenote hello world, create a minimal working onenote example",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote hello world in under 15 minutes,true,onboarding,plugins/saas-packs/onenote-pack/skills/onenote-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
onenote-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure OneNote local development workflow,"onenote local dev loop, configure onenote local development workflow",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/onenote-pack/skills/onenote-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
onenote-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready OneNote SDK patterns,"onenote sdk patterns, apply production-ready onenote sdk patterns",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/onenote-pack/skills/onenote-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
onenote-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute OneNote primary workflow,"onenote primary workflow, execute onenote primary workflow",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/onenote-pack/skills/onenote-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
onenote-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement OneNote core feature integration,"onenote core feature, implement onenote core feature integration",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote core feature in under 15 minutes,true,onboarding,plugins/saas-packs/onenote-pack/skills/onenote-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
onenote-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix OneNote common errors,"onenote common errors, diagnose and fix onenote common errors",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote common errors in under 15 minutes,true,operations,plugins/saas-packs/onenote-pack/skills/onenote-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
onenote-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect OneNote debug evidence for support,"onenote debug bundle, collect onenote debug evidence for support",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote debug bundle in under 15 minutes,true,operations,plugins/saas-packs/onenote-pack/skills/onenote-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
onenote-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement OneNote rate limiting and backoff,"onenote rate limits, implement onenote rate limiting and backoff",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote rate limits in under 15 minutes,true,operations,plugins/saas-packs/onenote-pack/skills/onenote-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
onenote-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply OneNote security best practices,"onenote security basics, apply onenote security best practices",Claude Code skill; OneNote SDK; local/cloud development,Working OneNote integration; Tests passing; Documentation updated,Faster OneNote integration; Reduced errors; Team productivity,Complete OneNote security basics in under 15 minutes,true,operations,plugins/saas-packs/onenote-pack/skills/onenote-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
