Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
linear-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Linear SDK/CLI authentication,"linear install auth, install and configure linear sdk/cli authentication",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear install auth in under 15 minutes,true,onboarding,plugins/saas-packs/linear-pack/skills/linear-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linear-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Linear example,"linear hello world, create a minimal working linear example",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear hello world in under 15 minutes,true,onboarding,plugins/saas-packs/linear-pack/skills/linear-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linear-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Linear local development workflow,"linear local dev loop, configure linear local development workflow",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/linear-pack/skills/linear-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linear-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Linear SDK patterns,"linear sdk patterns, apply production-ready linear sdk patterns",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/linear-pack/skills/linear-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linear-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Linear primary workflow,"linear primary workflow, execute linear primary workflow",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/linear-pack/skills/linear-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linear-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Linear core feature integration,"linear core feature, implement linear core feature integration",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear core feature in under 15 minutes,true,onboarding,plugins/saas-packs/linear-pack/skills/linear-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linear-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Linear common errors,"linear common errors, diagnose and fix linear common errors",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear common errors in under 15 minutes,true,operations,plugins/saas-packs/linear-pack/skills/linear-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linear-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Linear debug evidence for support,"linear debug bundle, collect linear debug evidence for support",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear debug bundle in under 15 minutes,true,operations,plugins/saas-packs/linear-pack/skills/linear-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linear-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Linear rate limiting and backoff,"linear rate limits, implement linear rate limiting and backoff",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear rate limits in under 15 minutes,true,operations,plugins/saas-packs/linear-pack/skills/linear-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
linear-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Linear security best practices,"linear security basics, apply linear security best practices",Claude Code skill; Linear SDK; local/cloud development,Working Linear integration; Tests passing; Documentation updated,Faster Linear integration; Reduced errors; Team productivity,Complete Linear security basics in under 15 minutes,true,operations,plugins/saas-packs/linear-pack/skills/linear-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
