Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
cursor-install-auth,New Cursor users and developers setting up IDE,Install Cursor IDE and configure authentication methods,Triggers: install cursor; setup cursor; cursor authentication; cursor login; cursor license,Claude Code skill; macOS/Linux/Windows; GitHub/Google/Email auth,Cursor installed and launches; signed in with preferred method; license tier confirmed; API keys configured if using own keys,Developers can begin using AI-assisted coding immediately; reduced onboarding friction,Get Cursor IDE fully installed and authenticated within 15 minutes,true,onboarding,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-install-auth,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cursor-hello-world,First-time Cursor users learning AI features,Create first project with Cursor AI features including tab completion; chat; and composer,Triggers: cursor hello world; first cursor project; cursor getting started; try cursor ai; cursor basics,Claude Code skill; any programming language; React/Python examples,New project created; tab completion working; chat accessible; composer tested; basic AI interactions demonstrated,New users gain confidence in AI-assisted development; faster time to first productive use,Complete first AI-powered project within 30 minutes of installation,true,onboarding,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-hello-world,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cursor-local-dev-loop,Active developers optimizing daily workflow,Optimize local development workflow with Cursor including morning startup; feature development cycle; git integration,Triggers: cursor workflow; cursor development loop; cursor productivity; cursor daily workflow,Claude Code skill; any project; git integration; terminal,Keyboard-driven workflow established; context management optimized; git integration working; testing workflow defined,Increased developer productivity; reduced context switching; faster feature development,Establish optimal development loop achieving 2x productivity improvement,true,onboarding,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-local-dev-loop,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cursor-keybindings,Developers seeking keyboard efficiency,Master Cursor keyboard shortcuts and customize keybindings for AI and editor operations,Triggers: cursor shortcuts; cursor keybindings; cursor keyboard; cursor hotkeys; cursor commands,Claude Code skill; macOS/Windows/Linux keybindings; Vim mode optional,All essential shortcuts memorized; custom keybindings configured; quick reference card available,Developers achieve muscle memory for AI features; reduced mouse usage; faster coding,Learn all critical shortcuts within one week of use,true,onboarding,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-keybindings,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cursor-ai-chat,Developers using Cursor chat for code assistance,Master Cursor AI chat interface for code assistance including context management and effective prompts,Triggers: cursor chat; cursor ai chat; ask cursor; cursor conversation; chat with cursor,Claude Code skill; GPT-4/Claude models; @-mentions for context,Chat patterns established; context management optimized; model selection understood; code application workflow mastered,Developers get accurate AI assistance faster; reduced iteration cycles,Achieve 80%+ first-response accuracy in chat interactions,true,onboarding,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-ai-chat,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cursor-tab-completion,Developers seeking efficient code completion,Master Cursor tab completion and AI code suggestions including acceptance patterns and settings,Triggers: cursor completion; cursor tab; cursor suggestions; cursor autocomplete; cursor ghost text,Claude Code skill; all programming languages; context-aware completion,Completion settings optimized; partial acceptance mastered; context awareness improved via types and comments,Faster coding with AI suggestions; reduced boilerplate typing,Achieve 50%+ completion acceptance rate with quality output,true,onboarding,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-tab-completion,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cursor-common-errors,Developers troubleshooting Cursor issues,Troubleshoot common Cursor IDE errors and issues including auth; completion; indexing; and performance,Triggers: cursor error; cursor not working; cursor issue; cursor problem; fix cursor,Claude Code skill; cross-platform troubleshooting; log analysis,Error identified and resolved; root cause understood; prevention measures in place,Reduced downtime from Cursor issues; faster return to productivity,Resolve 90% of common issues within 10 minutes using this guide,true,operations,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-common-errors,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cursor-debug-bundle,Developers debugging AI suggestion quality,Debug AI suggestions and code generation in Cursor including completion quality and context issues,Triggers: debug cursor ai; cursor suggestions wrong; bad cursor completion; cursor ai debug,Claude Code skill; model debugging; .cursorrules verification,AI behavior understood; quality issues diagnosed; context optimized; model selection refined,Better AI output quality; reduced frustration with suggestions,Achieve consistent high-quality AI suggestions after debugging,true,operations,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-debug-bundle,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cursor-indexing-issues,Developers troubleshooting codebase indexing,Troubleshoot Cursor codebase indexing problems including stuck indexing and search failures,Triggers: cursor indexing; cursor index; cursor codebase; @codebase not working; cursor search broken,Claude Code skill; .cursorignore configuration; index management,Indexing completing successfully; @codebase returning results; performance optimized,Reliable codebase search; AI has full project context,Achieve complete indexing with sub-second search response,true,operations,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-indexing-issues,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
cursor-model-selection,Developers optimizing AI model usage,Configure and select AI models in Cursor for optimal cost and quality balance,Triggers: cursor model; cursor gpt; cursor claude; change cursor model; cursor ai model,Claude Code skill; GPT-4/3.5/Claude models; API key configuration,Optimal model selected per task; cost managed; quality maintained; fallbacks configured,Balanced AI costs with quality; efficient token usage,Achieve optimal cost-to-quality ratio for AI features,true,operations,/home/jeremy/000-projects/claude-code-plugins/plugins/saas-packs/cursor-pack/skills/cursor-model-selection,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
