Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
apple-notes-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Apple Notes SDK/CLI authentication,"apple-notes install auth, install and configure apple notes sdk/cli authentication",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes install auth in under 15 minutes,true,onboarding,plugins/saas-packs/apple-notes-pack/skills/apple-notes-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apple-notes-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Apple Notes example,"apple-notes hello world, create a minimal working apple notes example",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes hello world in under 15 minutes,true,onboarding,plugins/saas-packs/apple-notes-pack/skills/apple-notes-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apple-notes-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Apple Notes local development workflow,"apple-notes local dev loop, configure apple notes local development workflow",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/apple-notes-pack/skills/apple-notes-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apple-notes-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Apple Notes SDK patterns,"apple-notes sdk patterns, apply production-ready apple notes sdk patterns",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/apple-notes-pack/skills/apple-notes-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apple-notes-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Apple Notes primary workflow,"apple-notes primary workflow, execute apple notes primary workflow",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/apple-notes-pack/skills/apple-notes-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apple-notes-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Apple Notes core feature integration,"apple-notes core feature, implement apple notes core feature integration",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes core feature in under 15 minutes,true,onboarding,plugins/saas-packs/apple-notes-pack/skills/apple-notes-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apple-notes-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Apple Notes common errors,"apple-notes common errors, diagnose and fix apple notes common errors",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes common errors in under 15 minutes,true,operations,plugins/saas-packs/apple-notes-pack/skills/apple-notes-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apple-notes-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Apple Notes debug evidence for support,"apple-notes debug bundle, collect apple notes debug evidence for support",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes debug bundle in under 15 minutes,true,operations,plugins/saas-packs/apple-notes-pack/skills/apple-notes-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apple-notes-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Apple Notes rate limiting and backoff,"apple-notes rate limits, implement apple notes rate limiting and backoff",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes rate limits in under 15 minutes,true,operations,plugins/saas-packs/apple-notes-pack/skills/apple-notes-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
apple-notes-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Apple Notes security best practices,"apple-notes security basics, apply apple notes security best practices",Claude Code skill; Apple Notes SDK; local/cloud development,Working Apple Notes integration; Tests passing; Documentation updated,Faster Apple Notes integration; Reduced errors; Team productivity,Complete Apple Notes security basics in under 15 minutes,true,operations,plugins/saas-packs/apple-notes-pack/skills/apple-notes-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
